NO_PRESTADOR;FANTASIA;NO_LIVRO;CEP;NUMERO;LOGRADOURO;BAIRRO;MUNICIPIO;UF;REGIAO_SAUDE;ESPECIALIDADES;DDD_TELEFONE1;TELEFONE1;DDD_TELEFONE2;TELEFONE2;DDD_CELULAR;CELULAR;DT_CREDENCIAMENTO
VANESSA PIRES DE SOUZA BRASIL;VANESSA PIRES DE SOUZA BRASIL;Nome;77015-380;4;AVSO 40 AVENIDA JOAQUIM TEOTONIO SEGURADO;PLANO DIRETOR SUL;PALMAS;TO;Região de Saúde do Capim Dourado;NUTRICAO;;;;;63;992373477;4/14/2025 12:00:00 AM
FIGUEIREDO CORTEZ MEDICINA E DIAGNOSTICO LTDA;FIGUEIREDO CORTEZ MEDICINA E DIAGNOSTICO;Nome;89240-000;439;DOUTOR NEREU RAMOS;ROCIO GRANDE;SAO FRANCISCO DO SUL;SC;Joinville;PEDIATRIA  / GINECOLOGIA E OBSTETRICIA  / REUMATOLOGIA  / CIRURGIA DO APARELHO DIGESTIVO / CLÍNICA MÉDICA / NUTRICAO / GASTROENTEROLOGIA  / GENETICA MÉDICA / OFTALMOLOGIA  / CARDIOLOGIA  / PSICOLOGIA;47;34445967;;;;;4/14/2025 12:00:00 AM
F G C SERVICOS MEDICOS LTDA;F G C;Nome;79826-030;1715;RUA ANTÔNIO DE CARVALHO;VILA PLANALTO;DOURADOS;MS;NCT de Dourados;GASTROENTEROLOGIA  / ENDOSCOPIA;67;30371715;;;;;4/14/2025 12:00:00 AM
JTG PSICOLOGIA LTDA;EVOLUIR PSICOLOGIA E PSICANALISE;Nome;87303-140;1995;RUA SÃO PAULO;CENTRO;CAMPO MOURAO;PR;Campo Mourão;PSICOLOGIA;;;;;44;984440887;04/11/2025 00:00
LIMA SERVICOS DE SAUDE LTDA;LIMA SERVICOS DE SAUDE;Nome;14025-070;1049;AVENIDA ITATIAIA;JARDIM SUMARÉ;RIBEIRAO PRETO;SP;Ribeirão Preto;CIRURGIA VASCULAR / ANGIOLOGIA;;;;;16;981272887;04/11/2025 00:00
WWR DIAGNOSTICO CLINICO LABORATORIAL LTDA;LABORATORIO BIOMED;Nome;76821-476;4272;AVENIDA PREFEITO CHIQUILITO ERSE;RIO MADEIRA;PORTO VELHO;RO;Departamento de Epidemiologia;PATOLOGIA CLINICA / MEDICINA LABORATORIAL / GENETICA MÉDICA / PATOLOGIA;69;32229999;;;;;04/11/2025 00:00
WWR DIAGNOSTICO CLINICO LABORATORIAL LTDA;LABORATORIO BIOMED;Nome;76803-768;2320;AVENIDA CALAMA;SÃO JOÃO BOSCO;PORTO VELHO;RO;Departamento de Epidemiologia;PATOLOGIA CLINICA / MEDICINA LABORATORIAL / GENETICA MÉDICA / PATOLOGIA;69;32229999;69;40048333;;;04/11/2025 00:00
WILLER FONTANELLI DA SILVEIRA;WILLER FONTANELLI DA SILVEIRA;Nome;16015-020;793;RUA TIRADENTES;VILA MENDONÇA;ARACATUBA;SP;Araçatuba;CIRURGIA ONCOLÓGICA / CIRURGIA GERAL  / ONCOLOGIA CLÍNICA;;;;;18;997431331;04/11/2025 00:00
STA CASA DE MISERICORDIA E MATERNIDADE DE RONDONOPOLIS;SANTA CASA DE RONDONOPOLIS;Fantasia;78700-120;100;RUA LUDOVICO VIEIRA DE CAMARGO;CENTRO;RONDONOPOLIS;MT;Rondonópolis;CIRURGIA GERAL  / PEDIATRIA  / RADIODIAGNÓSTICO / CLÍNICA MÉDICA / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / EVENTOS CLINICOS - ASSISTENCIA HOSPITALAR  / PNEUMOLOGIA  / GINECOLOGIA E OBSTETRICIA  / ANESTESIOLOGIA  / PATOLOGIA CLINICA / MEDICINA LABORATORIAL / CARDIOLOGIA  / ORTOPEDIA E TRAUMATOLOGIA;66;34102700;;;;;04/10/2025 00:00
CAROLINA GOMES SA;CAROLINA GOMES SA;Nome;56304-100;85;RUA SANTA LUZIA;CENTRO;PETROLINA;PE;Petrolina;ALERGIA E IMUNOLOGIA;87;38626586;;;87;981292404;04/10/2025 00:00
POSTO DE COLETA SANTA PAULA EIRELI;LABORATORIO SANTA PAULA;Nome;76932-000;966;SAO PAULO;CRISTO REI;SAO MIGUEL DO GUAPORE;RO;I Delegacia Regional de Saúde;CLÍNICA MÉDICA / PATOLOGIA / PATOLOGIA CLINICA / MEDICINA LABORATORIAL;;;;;69;984845131;04/10/2025 00:00
LAURO HENRIQUE HEINSCH DOMENIGHI;;Nome;97060-360;465;RUA JOANA D ARC;NOSSA SENHORA DE LOURDES;SANTA MARIA;RS;CRS 04 Santa Maria;GINECOLOGIA E OBSTETRICIA;;;;;55;999509793;04/10/2025 00:00
LABORATORIO DE ANALISES E PESQUISAS CLINICAS TRINDADE LTDA;SABIN MEDICINA DIAGNOSTICA;Nome;88705-001;2075;AVENIDA MARCOLINO MARTINS CABRAL;VILA MOEMA;TUBARAO;SC;Tubarão;PATOLOGIA CLINICA / MEDICINA LABORATORIAL;28;32058000;;;;;04/10/2025 00:00
SUPORTE NUTRICIONAL E QUIMIOTERAPIA LTDA;PRONUTRIR;Nome;62030-112;1046;RUA ILDEFONSO DE HOLANDA CAVALCANTE;CAMPO DOS VELHOS;SOBRAL;CE;Sobral;ONCOLOGIA CLÍNICA / CIRURGIA ONCOLÓGICA;88;31115657;;;;;04/09/2025 00:00
PACTO MEDICINA E SEGURANCA DO TRABALHO LTDA.;PACTO MEDICINA E SEGURANCA DO TRABALHO LTDA.;Nome;38700-006;274;RUA ANA DE OLIVEIRA;CENTRO;PATOS DE MINAS;MG;Patos de Minas;MEDICINA DO TRABALHO;34;30301346;;;;;04/09/2025 00:00
CLINICA DE CARDIOLOGIA DR ANTONIO CARLOS CAMARGO DA ROSA LTDA;CLINICA DE CARDIOLOGIA;Nome;85601-020;1240;RUA VEREADOR ROMEU LAURO WERLANG;CENTRO;FRANCISCO BELTRAO;PR;Francisco Beltrão;CLÍNICA MÉDICA / PNEUMOLOGIA  / CARDIOLOGIA;46;35234591;;;;;04/09/2025 00:00
A. R. DE V. PESSOA PONTES;;Nome;62320-021;101;RUA MANOEL ESTEVÃO;CENTRO;TIANGUA;CE;Tianguá;FISIOTERAPIA;;;;;88;996169679;04/09/2025 00:00
AMAR SAUDE INTEGRATIVA LTDA;AMAR SAUDE INTEGRATIVA LTDA;Nome;95020-412;2048;RUA BENTO GONÇALVES;CENTRO;CAXIAS DO SUL;RS;CRS 05 Caxias do Sul;HOMEOPATIA  / FISIOTERAPIA;;;;;54;997140794;04/09/2025 00:00
DG DIAGNOSE SERVICOS MEDICOS EIRELI;DG DIAGNOSE SERVICOS MEDICOS EIRELI;Nome;14020-140;105;RUA CÂNDIDO PORTINARI;JARDIM AMÉRICA;RIBEIRAO PRETO;SP;Ribeirão Preto;UROLOGIA;16;36108452;;;16;997796866;04/09/2025 00:00
MULTITEA INTERVENCAO COMPORTAMENTAL MULTIPROFISSIONAL LTDA;MULTITEA;Nome;95082-380;1448;AVENIDA INDEPENDÊNCIA;PANAZZOLO;CAXIAS DO SUL;RS;CRS 05 Caxias do Sul;FISIOTERAPIA / TERAPIA OCUPACIONAL / FONOAUDIOLOGIA  / PSICOLOGIA  / NUTRICAO;;;;;54;992222278;04/09/2025 00:00
BS PSICOLOGIA LTDA;NEUROCENTER PSICOLOGIA AVANÇADA;Nome;77020-014;25;QUADRA ACSE 1 RUA SE 1;PLANO DIRETOR SUL;PALMAS;TO;Região de Saúde do Capim Dourado;NUTRICAO / PSICOLOGIA;;;;;63;992191222;04/09/2025 00:00
INSTITUTO DA VISAO S/S LTDA;OLHA OFTALMOLOGIA INTEGRADA;Nome;58030-060;225;RUA GOIÁS;ESTADOS;JOAO PESSOA;PB;I Núcleo Regional de Saúde;OFTALMOLOGIA;;;;;83;999550837;04/08/2025 00:00
NOVA ANESTESIA LTDA;NOVA ANESTESIA LTDA;Nome;24230-251;317;AVENIDA SETE DE SETEMBRO;ICARAÍ;NITEROI;RJ;Metropolitana II;ANESTESIOLOGIA;21;24862747;;;;;04/08/2025 00:00
LAC LABORATORIO DE ANALISES CLINICAS LTDA;;Nome;76804-094;872;RUA AFONSO PENA;KM 1;PORTO VELHO;RO;Departamento de Epidemiologia;PATOLOGIA CLINICA / MEDICINA LABORATORIAL / PATOLOGIA;69;32217241;;;;;04/08/2025 00:00
RAIMUNDA FURTADO DE SOUSA;RAIMUNDA FURTADO DE SOUSA;Nome;62350-000;647;RUA PRUDENCIO FURTADO;MONTE CASTELO;UBAJARA;CE;Tianguá;PSICOLOGIA;;;;;88;994941273;04/08/2025 00:00
TEAR TERAPIAS INTEGRADAS LTDA.;TEAR;Nome;52011-160;81;RUA DOM SEBASTIÃO LEME;GRAÇAS;RECIFE;PE;Recife;TERAPIA OCUPACIONAL / FISIOTERAPIA / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / FONOAUDIOLOGIA  / PSICOLOGIA;;;;;81;989939585;04/07/2025 00:00
THAINARA FERNANDA MARQUES DOS SANTOS LTDA;THAINARA MARQUES PSICOLOGA;Nome;79754-094;428;RUA SENADOR AURO DE MOURA ANDRADE;IRMAN RIBEIRO;NOVA ANDRADINA;MS;NCT de Nova Andradina;PSICOLOGIA;;;;;67;992462037;04/07/2025 00:00
MAELLY VICENTE LOBO;;Nome;55014-325;17;RUA ANA MARIA DA SILVA BRASILEIRINHO;MAURÍCIO DE NASSAU;CARUARU;PE;Caruaru;CIRURGIA E TRAUMATOLOGIA BUCO-MAXILO-FACIAIS;;;;;81;996672893;04/07/2025 00:00
AMMARE PSICOLOGIA LTDA;ADRIANA LOPES;Nome;37553-632;130;RUA LAURO NUNES DE OLIVEIRA;SANTA DOROTÉIA;POUSO ALEGRE;MG;Pouso Alegre;PSICOLOGIA;;;;;35;991993789;04/07/2025 00:00
AME CONSULTA MEDICA ESPECIALIZADA LTDA;AME CONSULTA;Nome;88304-101;2150;RUA HEITOR LIBERATO;SÃO JOÃO;ITAJAI;SC;Itajaí;PSIQUIATRIA  / GASTROENTEROLOGIA  / OTORRINOLARINGOLOGIA  / GINECOLOGIA E OBSTETRICIA  / MASTOLOGIA  / CARDIOLOGIA  / PEDIATRIA  / ALERGIA E IMUNOLOGIA  / OFTALMOLOGIA  / ORTOPEDIA E TRAUMATOLOGIA  / HEMATOLOGIA E HEMOTERAPIA / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / PSICOLOGIA;47;33114778;;;;;04/07/2025 00:00
PHYSIOCLINICA LTDA.;PHYSIOCLINICA.;Nome;85869-010;957;AVENID FLORIANÓPOLIS;JARDIM SANTA ROSA;FOZ DO IGUACU;PR;Foz do Iguaçu;FISIOTERAPIA / MEDICINA FISICA E REABILITACAO;45;35249036;;;;;04/05/2025 00:00
BENILDE MARIA MIRANDA DA SILVA LTDA;INSTITUTO BALSENSE DE DESENVOLVIMENTO INFANTIL;Nome;65800-000;83;RUA DA MANGUEIRA;CAJUEIRO;BALSAS;MA;Gerais de Balsas;PSICOLOGIA  / TERAPIA OCUPACIONAL / FONOAUDIOLOGIA  / NUTRICAO;;;;;99;984023911;04/04/2025 00:00
IGOR NOBREGA FERREIRA EIRELI ME;LABORATORIO BIOANALISE;Nome;58700-450;215;RUA PEREGRINO FILHO;CENTRO;PATOS;PB;VI Núcleo Regional de Saúde;PATOLOGIA CLINICA / MEDICINA LABORATORIAL;83;34213331;;;;;04/04/2025 00:00
INAE MURIEL GONCALVES DE SANTANA LTDA;ESPACO MURIEL;Nome;79601-060;594;RUA BRUNO GARCIA;CENTRO;TRES LAGOAS;MS;NCT de Três Lagoas;PSICOLOGIA  / FONOAUDIOLOGIA  / TERAPIA OCUPACIONAL;;;;;67;992815179;04/04/2025 00:00
SINAPSE SONO LTDA;SINAPSE SONO;Nome;60135-215;800;RUA FRANCISCO HOLANDA;DIONISIO TORRES;FORTALEZA;CE;Fortaleza;ENDOCRINOLOGIA E METABOLOGIA / PNEUMOLOGIA;;;;;85;985126869;04/04/2025 00:00
SERVICO SOCIAL DA INDUSTRIA SESI;SESI ESPACO SAUDE;Nome;98280-000;1585;KONRAD ADENAUER;ERICA;PANAMBI;RS;CRS 17 Ijuí;PSICOLOGIA  / NUTRICAO;55;33755120;;;;;04/04/2025 00:00
LABORATORIO DE ANALISES E PESQUISAS CLINICAS TRINDADE LTDA;SABIN MEDICINA DIAGNOSTICO;Nome;88070-605;353;RUA SOUZA DUTRA;ESTREITO;FLORIANOPOLIS;SC;Grande Florianópolis;PATOLOGIA CLINICA / MEDICINA LABORATORIAL;48;32058000;;;;;04/04/2025 00:00
CLIPPSIN CLINICA DE PSICOLOGIA NEUROPSICOLOGIA E ESPECIAL;CLIPPSIN;Nome;53437-000;3444;AVENIDA DOUTOR CLÁUDIO JOSÉ GUEIROS LEITE;JANGA;PAULISTA;PE;Recife;NUTRICAO / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / PSICOLOGIA  / FONOAUDIOLOGIA;;;;;81;989682201;04/04/2025 00:00
LABORATORIO DE PATOLOGIA CIRURGICA E CITOLOGIA LTDA;LABORATORIO DE PATOLOGIA CIRURGICA E CITOLOGIA LTD;Nome;49140-430;1405;RODOVIA ENGENHEIRO EDILSON TAVORA;PARAÍSO DA BARRA;BARRA DOS COQUEIROS;SE;Região Aracaju;PATOLOGIA CLINICA / MEDICINA LABORATORIAL;79;33027394;;;;;04/04/2025 00:00
ANA LUIZA TRINDADE;;Nome;90620-130;301;RUA GOMES JARDIM;SANTANA;PORTO ALEGRE;RS;CRS 01 Porto Alegre;MEDICINA FISICA E REABILITACAO;51;25007200;;;;;04/04/2025 00:00
PLACIDO MOURA MACEDO LTDA;CENTRO DE SAUDE NUTRIDIGEST;Nome;63041-162;175;R CATULO DA PAIXAO CEARENSE;TRIANGULO;JUAZEIRO DO NORTE;CE;Juazeiro do Norte;PNEUMOLOGIA  / NUTROLOGIA / ALERGIA E IMUNOLOGIA;;;;;88;996574227;04/04/2025 00:00
SENSE KIDS EVOLUTION LTDA;SENSE KIDS;Nome;66055-200;1476;TRAVESSA DOM ROMUALDO DE SEIXAS;UMARIZAL;BELEM;PA;Metropolitana;TERAPIA OCUPACIONAL / PSICOLOGIA  / FONOAUDIOLOGIA;;;;;91;981225206;04/04/2025 00:00
ASSOCIACAO HOSPITALAR VILA NOVA;ASSOCIACAO HOSPITALAR VILA NOVA;Nome;99560-000;676;COSMO FAVRETTO;CENTRO;SARANDI;RS;CRS 15 Palmeira das Missões;CLÍNICA MÉDICA / ANGIOLOGIA / CIRURGIA DO APARELHO DIGESTIVO / HEMATOLOGIA E HEMOTERAPIA / NEUROCIRURGIA  / RADIOTERAPIA  / MEDICINA NUCLEAR  / NEFROLOGIA  / INFECTOLOGIA  / PSICOLOGIA  / GASTROENTEROLOGIA  / REUMATOLOGIA  / MEDICINA DA FAMÍLIA E COMUNIDADE / TERAPIA OCUPACIONAL / NEUROLOGIA  / OFTALMOLOGIA  / EVENTOS CLINICOS - ASSISTENCIA HOSPITALAR  / FISIOTERAPIA / ACUPUNTURA  / NUTROLOGIA / PATOLOGIA CLINICA / MEDICINA LABORATORIAL / MEDICINA FISICA E REABILITACAO  / CIRURGIA DE CABEÇA E PESCOÇO / OTORRINOLARINGOLOGIA  / ENDOCRINOLOGIA E METABOLOGIA / CIRURGIA DA MÃO / UROLOGIA  / CIRURGIA ONCOLÓGICA / PATOLOGIA / CIRURGIA PEDIATRICA  / FONOAUDIOLOGIA  / GENETICA MÉDICA / ONCOLOGIA CLÍNICA / ENFERMAGEM  / MEDICINA DO TRABALHO / CIRURGIA CARDIOVASCULAR  / HOMEOPATIA  / CIRURGIA GERAL  / PNEUMOLOGIA  / COLOPROCTOLOGIA / ANESTESIOLOGIA  / PEDIATRIA  / GERIATRIA   / CIRURGIA VASCULAR / CARDIOLOGIA  / MASTOLOGIA  / REMOCOES  / CIRURGIA TORACICA  / PSIQUIATRIA  / ORTOPEDIA E TRAUMATOLOGIA  / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / ALERGIA E IMUNOLOGIA  / GINECOLOGIA E OBSTETRICIA;54;36115750;;;;;04/03/2025 00:00
MED CENTER AQUIRAZ SERVICOS MEDICOS LTDA;MED LESTE;Nome;61700-000;97;R JOAO PAULO II;CENTRO;AQUIRAZ;CE;Fortaleza;RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / GINECOLOGIA E OBSTETRICIA  / PEDIATRIA  / FISIOTERAPIA / CIRURGIA GERAL  / CARDIOLOGIA  / COLOPROCTOLOGIA / UROLOGIA;;;;;85;991739569;04/03/2025 00:00
THAIS GUEDES DE MELO ARAUJO ALMEIDA;;Nome;58840-000;129;RUA DR. JOÃO;CENTRO;POMBAL;PB;X Núcleo Regional de Saúde;FISIOTERAPIA;;;;;83;993875550;04/03/2025 00:00
MAGALI TERRA RIBEIRO ME;LABORATORIO BIOMEDICO;Fantasia;97970-000;37;MONSENHOR ESTANISLAU WOLSKI;CENTRO;ROQUE GONZALES;RS;CRS 12 Santo Ângelo;PATOLOGIA CLINICA / MEDICINA LABORATORIAL;55;33651130;;;55;996456071;04/03/2025 00:00
CLINICA DE AVALIACAO PSICOLOGICA NISHIKAWA SS LTDA;CLINICA DE AVALIACAO PSICOLOGICA NISHIKAWA SS;Nome;79040-610;8;RUA IMBE;CIDADE JARDIM;CAMPO GRANDE;MS;NCT de Campo Grande;PSICOLOGIA;;;;;67;981163176;04/03/2025 00:00
ESPACO MULTIDISCIPLINAR GIRASSOL LTDA;ESPACO MULTIDISCIPLINAR GIRASSOL;Nome;20720-012;438;RUA DIAS DA CRUZ;MÉIER;RIO DE JANEIRO;RJ;Metropolitana I;FISIOTERAPIA / PSICOLOGIA  / FONOAUDIOLOGIA  / NUTRICAO / TERAPIA OCUPACIONAL;;;;;21;987016533;04/03/2025 00:00
JULLYANA JANDYR SANTOS DE ARAUJO;Jullyana Jandyr Santos de Araújo;Nome;88137-390;284;RUA DAS ORQUÍDEAS;PEDRA BRANCA;PALHOCA;SC;Grande Florianópolis;FISIOTERAPIA;;;;;51;993989114;04/03/2025 00:00
MELINA MARIA BATISTA SILVA;;Nome;58802-093;11;RUA JOSÉ MARTINS IRMÃO;GATO PRETO;SOUSA;PB;X Núcleo Regional de Saúde;ENDOCRINOLOGIA E METABOLOGIA;;;;;83;991288738;04/02/2025 00:00
LABORATORIO DE ANALISES E PESQUISAS CLINICAS TRINDADE LTDA;LABORATORIO DE ANALISES E PESQUISAS CLINICAS TRIND;Nome;88780-000;414;AVENIDA BRASIL;PAES LEME;IMBITUBA;SC;Tubarão;PATOLOGIA CLINICA / MEDICINA LABORATORIAL;48;39522900;;;;;04/02/2025 00:00
CENTRO DE IMAGEM INSTITUTO DO CORACAO;CENTRO DE IMAGEM INSTITUTO DO CORACAO;Nome;76804-024;1852;RUA RAFAEL VAZ E SILVA;SÃO CRISTÓVÃO;PORTO VELHO;RO;Departamento de Epidemiologia;RADIOLOGIA E DIAGNÓSTICO POR IMAGEM;69;32100201;;;;;04/02/2025 00:00
SERVICO SOCIAL DA INDUSTRIA SESI;SERVICO SOCIAL DA INDUSTRIA SESI;Nome;95010-060;186;AVENIDA RIO BRANCO;SÃO PELEGRINO;CAXIAS DO SUL;RS;CRS 05 Caxias do Sul;NUTRICAO / PSICOLOGIA;51;33478787;;;;;04/02/2025 00:00
DERMATOLOGIA CLINICA E CIRURGIA WEISS;CLINICA DA PELE;Nome;88330-610;60;RUA 1536;CENTRO;BALNEARIO CAMBORIU;SC;Balneário Camboriú;DERMATOLOGIA;;;;;47;996188757;04/01/2025 00:00
INSTITUTO MEDICO CUIDAR OXCENTRO LTDA;INSTITUTO CUIDAR;Nome;64001-260;1504;SAO PEDRO - ATE 2563/2564;CENTRO;TERESINA;PI;TD Entre Rios;INFECTOLOGIA  / GASTROENTEROLOGIA  / DERMATOLOGIA   / PATOLOGIA CLINICA / MEDICINA LABORATORIAL / NEUROLOGIA  / UROLOGIA  / REUMATOLOGIA  / OTORRINOLARINGOLOGIA  / ENDOCRINOLOGIA E METABOLOGIA / CIRURGIA VASCULAR / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / GINECOLOGIA E OBSTETRICIA  / CARDIOLOGIA  / FONOAUDIOLOGIA  / PSICOLOGIA  / ORTOPEDIA E TRAUMATOLOGIA  / ANGIOLOGIA;86;32178133;;;86;999709973;04/01/2025 00:00
ENDOCRINOLOGIA PEDIATRICA DO CEARA MEDICOS ASSOCIADOS S/S LTDA;ENDOPED CEARA;Nome;60822-492;712;RUA PEDRO FIRMEZA;CIDADE DOS FUNCIONÁRIOS;FORTALEZA;CE;Fortaleza;ENDOCRINOLOGIA E METABOLOGIA;;;;;85;988492014;04/01/2025 00:00
HABILPSIQUE CLINICA LTDA;ESPACO TERAPEUTICO AMAR;Nome;85869-420;31;RUA PIRACICABA;LANCASTER;FOZ DO IGUACU;PR;Foz do Iguaçu;PSICOLOGIA  / FISIOTERAPIA / NUTRICAO / TERAPIA OCUPACIONAL / FONOAUDIOLOGIA;;;;;45;998300719;04/01/2025 00:00
ENDOCRINOLOGIA PEDIATRICA DO CEARA MEDICOS ASSOCIADOS S/S LTDA;ENDOPED CEARA;Nome;60160-230;1200;AVENIDA DOM LUÍS;MEIRELES;FORTALEZA;CE;Fortaleza;ENDOCRINOLOGIA E METABOLOGIA;;;;;85;999488502;04/01/2025 00:00
ENDOCRINOLOGIA PEDIATRICA DO CEARA MEDICOS ASSOCIADOS S/S LTDA;ENDOPED CEARA;Nome;60160-230;1233;AVENIDA DOM LUÍS;MEIRELES;FORTALEZA;CE;Fortaleza;ENDOCRINOLOGIA E METABOLOGIA;;;;;85;999488502;04/01/2025 00:00
ENDOCRINOLOGIA PEDIATRICA DO CEARA MEDICOS ASSOCIADOS S/S LTDA;ENDOPED CEARA;Nome;60175-047;5753;AVENIDA SANTOS DUMONT;PAPICU;FORTALEZA;CE;Fortaleza;ENDOCRINOLOGIA E METABOLOGIA;;;;;85;987342128;04/01/2025 00:00
CLINICA DO CORACAO DR MARCUS VINICIUS BATISTA LTDA;CLINICA DO CORACAO DR MARCUS VINICIUS BATISTA;Nome;76804-066;3200;RUA JOAQUIM NABUCO;SÃO CRISTÓVÃO;PORTO VELHO;RO;Departamento de Epidemiologia;CARDIOLOGIA;;;;;69;992102791;04/01/2025 00:00
CENTRO ESPECIALIZADO EM REABILITACAO PELVICA SERVICOS FISIOTERAPIA LTD;CERP;Nome;76870-412;2139;RUA VITÓRIA;SETOR 03;ARIQUEMES;RO;Departamento de Epidemiologia;FISIOTERAPIA;;;;;69;992841289;04/01/2025 00:00
CLINICA MEDICA RADER LTDA;CLINICA MEDICA RADER LTDA;Nome;17800-000;48;RUA ARNO KIEFFER;VILA CICMA;ADAMANTINA;SP;Marília;RADIOLOGIA E DIAGNÓSTICO POR IMAGEM;18;35213697;;;;;04/01/2025 00:00
ESPACO TRANSFORMAR TERAPIAS INTEGRATIVAS LTDA;ESPACO TRANSFORMAR TERAPIAS INTEGRATIVAS LTDA;Nome;53030-110;249;PRAÇA DOZE DE MARÇO;BAIRRO NOVO;OLINDA;PE;Recife;FONOAUDIOLOGIA  / NUTRICAO / PSICOLOGIA  / FISIOTERAPIA / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / TERAPIA OCUPACIONAL;;;;;81;996468521;3/31/2025 12:00:00 AM
CLINIVIDA CLINICA MEDICA LTDA;CLINIVIDA CLINICA MEDICA;Nome;35500-024;622;AVENIDA GETÚLIO VARGAS;CENTRO;DIVINOPOLIS;MG;Divinópolis;PEDIATRIA;37;32212397;;;;;3/31/2025 12:00:00 AM
SOLB SERVICO DE ORTOPEDIA LUIZ BRAGA LTDA;SOLB SERVICO DE ORTOPEDIA LUIZ BRAGA;Nome;51110-160;251;AVENIDA REPÚBLICA DO LÍBANO;PINA;RECIFE;PE;Recife;INFECTOLOGIA  / CIRURGIA GERAL  / ENDOCRINOLOGIA E METABOLOGIA / GASTROENTEROLOGIA  / ANESTESIOLOGIA  / CIRURGIA DE CABEÇA E PESCOÇO / DERMATOLOGIA   / PNEUMOLOGIA  / REUMATOLOGIA  / ANGIOLOGIA / ORTOPEDIA E TRAUMATOLOGIA  / CIRURGIA VASCULAR;81;30390030;;;81;995585099;3/31/2025 12:00:00 AM
LGN CENTRO DE SAUDE E REABILITACAO LTDA;INNOVARE;Nome;83408-280;2368;RUA ABEL SCUISSIATO;ATUBA;COLOMBO;PR;Metropolitana;FISIOTERAPIA / PSICOLOGIA  / FONOAUDIOLOGIA  / TERAPIA OCUPACIONAL;41;35629064;;;;;3/28/2025 12:00:00 AM
CLINICA OFTALMOLOGICA GUARNIERI E ASSOCIADOS S S LTDA;CLINICA OFTALMOLOGICA GUARNIERI E ASSOCIADOS S S;Nome;01327-904;47;PRAÇA AMADEU AMARAL, 47;BELA VISTA;SAO PAULO;SP;Grande São Paulo;OFTALMOLOGIA;11;33730049;;;;;3/28/2025 12:00:00 AM
HOSPITAL SAO SEBASTIAO DE RAUL SOARES;HOSPITAL SAO SEBASTIAO DE RAUL SOARES;Nome;35350-000;0;ADELINO AZEVEDO;CENTRO;RAUL SOARES;MG;Ponte Nova;CIRURGIA GERAL  / HEMATOLOGIA E HEMOTERAPIA / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / CARDIOLOGIA  / REMOCOES  / PSICOLOGIA  / NEFROLOGIA  / ULTRA-SONOGRAFIA  / CLÍNICA MÉDICA / PATOLOGIA / NUTROLOGIA / UROLOGIA  / RADIODIAGNÓSTICO / PATOLOGIA CLINICA / MEDICINA LABORATORIAL / HEMOTERAPIA  / OFTALMOLOGIA  / ANESTESIOLOGIA  / GINECOLOGIA E OBSTETRICIA  / GASTROENTEROLOGIA  / ORTOPEDIA E TRAUMATOLOGIA  / OTORRINOLARINGOLOGIA  / ENFERMAGEM  / CIRURGIA DO APARELHO DIGESTIVO / PEDIATRIA  / CIRURGIA PEDIATRICA;33;33511108;;;;;3/28/2025 12:00:00 AM
ANA LUIZA FELIPE ROCHA;EVOLUIR CONSULTORIO TERAPEUTICO;Nome;62580-000;205;PREFEITO RAIMUNDO ROCHA;CENTRO;ACARAU;CE;Acaraú;PSICOLOGIA  / FONOAUDIOLOGIA  / FISIOTERAPIA / TERAPIA OCUPACIONAL;;;;;88;999195091;3/28/2025 12:00:00 AM
RIOS E ASSOCIADOS LTDA;;Nome;87060-101;476;RUA DAS AZALÉIAS;GLEBA PATRIMÔNIO MARINGÁ;MARINGA;PR;Maringá;CIRURGIA VASCULAR / MASTOLOGIA;;;;;44;991148182;3/28/2025 12:00:00 AM
CAMBRAIA CIA LTDA;ORTOTRAUMA;Nome;79500-000;499;AV JUCA PINHE;SANTA MONICA;PARANAIBA;MS;NCT de Paranaíba;ORTOPEDIA E TRAUMATOLOGIA  / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM;67;36683979;;;;;3/28/2025 12:00:00 AM
ESPACO EVOLUCAO CLINICA E TERAPIAS INTEGRADAS LTDA;ESPACO EVOLUCAO;Nome;50050-470;118;RUA CONDE D'EU;SANTO AMARO;RECIFE;PE;Recife;FISIOTERAPIA / PSICOLOGIA  / TERAPIA OCUPACIONAL / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / FONOAUDIOLOGIA;81;32325557;;;;;3/28/2025 12:00:00 AM
G. S. DA SILVA E CIA LTDA;INSTITUTO LAMPOS;Nome;69305-095;1847;RUA GOVERNADOR AQUILINO MOTA DUARTE;SÃO FRANCISCO;BOA VISTA;RR;Secretaria Estadual de Saúde;NUTRICAO / PSICOLOGIA;;;;;95;991724675;3/28/2025 12:00:00 AM
